Net1_Parameters,Net2_Parameters
[0.73540896],[0.17995824]
[-0.25295527],[-0.10707332]
[0.96044151],[0.24933664]
[0.05057376],[2.73525104]
[-1.2956451],[0.62612284]
[1.47154069],[0.03215866]
[0.22220491],[0.20543039]
[1.47030026],[-0.19100931]
[-1.13571964],[-0.87053722]
[1.10199003],[0.24290308]
[0.73579267],[-0.02493816]
[-0.76595396],[1.70834517]
[-0.00104066],[-0.3351192]
[-0.28401966],[-0.25878256]
[-0.16229394],[-0.91927609]
[-1.61864251],[-1.81032694]
[0.0331005],[0.02099836]
[1.02746127],[1.4299559]
[-0.1059958],[-0.17567782]
[0.20242636],[3.74145472]
[0.50186592],[0.40020185]
[0.3406119],[0.00810601]
[0.1065006],[0.87728081]
[1.75937559],[-0.08551161]
[2.96471778],[0.09532745]
[-0.75834119],[0.63384083]
[-0.57411671],[-1.62595989]
[0.41934823],[2.17460467]
[0.09958359],[1.92394625]
[-1.16686746],[1.06987489]
[-1.33296171],[-0.39109313]
[1.13845065],[1.20873221]
[0.64493921],[-0.53145125]
[-0.06928485],[-0.30493065]
[0.58893325],[-0.67361947]
[0.81377329],[-0.37721501]
[-0.89596763],[1.13467375]
[0.76697916],[1.39902075]
[-0.47891751],[1.65681753]
[0.35625969],[-0.88924069]
[-0.27257904],[0.66816331]
[2.53302253],[-0.46717314]
[-2.02313635],[-0.21569258]
[-1.57730309],[0.8856216]
[-0.3158386],[2.78140166]
[0.95331732],[0.78387117]
[-0.42355397],[0.67694965]
[0.6985255],[0.58328135]
[-0.45749665],[0.5118996]
[-0.66563119],[2.13972425]
[0.42959275],[1.4945238]
[0.64937989],[1.68142645]
[0.7102251],[-1.8299962]
[1.25847672],[-0.55361577]
[3.20322765],[1.15062301]
[0.24747079],[1.24714037]
[1.68035263],[-0.251281]
[0.12050259],[1.46772518]
[-1.11546775],[0.41019404]
[0.43544884],[-1.35004079]
[-0.8773025],[0.97807425]
[0.56067746],[0.48906068]
[-0.30429107],[0.20999643]
[0.73409201],[-0.26958053]
[-0.1697834],[-0.54828288]
[1.42665505],[0.0495804]
[1.50496503],[-1.33752661]
[-0.79739639],[-0.5764997]
[-0.8977064],[1.13677443]
[-0.2400539],[1.80082198]
[0.30473005],[-0.09551447]
[0.44520175],[2.04039316]
[0.44490746],[-0.63471577]
[1.53711075],[-0.48828462]
[-0.06515887],[1.57883773]
[1.18520977],[-0.09380361]
[1.76655544],[-0.51319867]
[0.30340779],[1.68525065]
[1.1610902],[-0.52324225]
[2.25702565],[1.05322254]
[2.99019478],[0.20491755]
[-0.54353067],[0.89206762]
[-0.66569821],[0.66185486]
[1.8390528],[0.25076667]
[-1.21281641],[0.92026983]
[-1.02649396],[0.35968884]
[-1.32215582],[0.62239555]
[1.90058555],[0.66700077]
[1.73129692],[-1.43787895]
[0.48763741],[1.99013031]
[0.26823248],[1.03429837]
[-1.35657302],[1.70878504]
[-0.68564759],[2.2004487]
[1.40006519],[1.77373813]
[0.06510792],[-0.26339556]
[-1.41333758],[2.00623159]
[1.023849],[-0.53856082]
[-0.84368831],[0.77006677]
[2.33496869],[-1.14256305]
[2.31829602],[-0.58356969]
[-1.48776612],[0.72881396]
[1.18515324],[-0.36768985]
[1.38139015],[1.3845263]
[-0.2920881],[-0.68227473]
[-0.80146997],[-0.65504367]
[0.35276328],[0.70239269]
[-0.86695593],[2.15362914]
[-0.97902534],[1.0222996]
[2.31197328],[-0.75256004]
[-0.81945159],[0.68693624]
[0.64936072],[1.20186014]
[0.02910796],[-0.55022775]
[0.59783535],[1.56075424]
[0.11225448],[-0.1631586]
[-0.26736234],[-0.28672559]
[0.69118322],[-2.05309622]
[0.13411826],[0.70489826]
[0.19911211],[-1.96238235]
[-0.43605202],[-0.98748472]
[0.43282042],[0.67560943]
[2.27721328],[2.19152879]
[-0.17705677],[-1.47040037]
[0.2330358],[0.34044166]
[3.03009915],[1.70231271]
[0.17461892],[2.24247926]
[-2.36096646],[-0.45031708]
[1.68860058],[0.22644453]
[0.01875868],[1.61476428]
[0.8206263],[0.95039303]
[-0.84191117],[0.23229967]
[-0.43868814],[1.6188089]
[0.23173507],[0.4251683]
[0.19044822],[0.12902763]
[0.01728985],[1.68780681]
[-2.03194141],[1.74171387]
[0.64414397],[1.90584236]
[1.14396242],[0.84853148]
[1.02244239],[0.54014451]
[0.03244876],[1.28922036]
[0.75741259],[1.84773598]
[2.11969897],[1.3739748]
[0.86558493],[0.33407359]
[1.41767224],[0.56812683]
[0.95931865],[3.17071074]
[-0.18412996],[0.04127678]
[0.84303635],[-0.46674064]
[0.81234723],[-1.01089092]
[0.32635148],[-1.1076904]
[0.20332292],[0.31695435]
[0.33339841],[0.76985831]
[0.05235198],[0.71254592]
[0.56685693],[-1.90741105]
[0.25597864],[0.49406701]
[-1.13786527],[0.13734351]
[1.21910939],[0.11960195]
[0.08599025],[-0.21322867]
[1.24680008],[0.37454253]
[-0.15665052],[-0.17553879]
